,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_DESCRIPTION,WALLS_DESCRIPTION,ROOF_DESCRIPTION,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION
5367,4,78.0,2.69,3,4.0,3,1,14,2.0,0.0,45.0,30
5368,5,71.25,2.4,3,4.0,0,3,11,4.0,0.0,100.0,7
5369,4,70.8,2.48,3,5.0,2,16,6,5.0,0.0,92.0,7
5370,0,147.4,2.28,3,8.0,0,0,7,8.0,1.0,100.0,7
5371,4,79.6,2.27,3,4.0,0,1,6,4.0,0.0,100.0,35
5372,4,98.06,2.4,3,3.0,0,1,4,3.0,1.0,100.0,7
5373,5,74.44,2.3,3,4.0,0,3,6,4.0,0.0,100.0,7
5374,5,177.1,2.4,3,6.0,0,0,15,6.0,0.0,100.0,7
5375,4,86.56,2.42,3,6.0,3,23,13,6.0,0.0,10.0,7
5376,4,60.0,2.35,3,3.0,0,0,4,3.0,1.0,100.0,7
